,RulesetId,Name,DurationTurns
164,521,Hyvn aetter Hare,250.0
165,365,Tuz,127.0
166,1806,First Attack,7.0
167,295,Chaturaji,247.0
168,558,Hewakam Keliya,243.0
169,1435,Medieval Chess,247.0
170,347,Qelat (Beni Amir-Mensa),250.0
171,419,Ataxx,145.0
172,489,Frisian Draughts,69.0
173,1567,Bao,6.0
174,1789,Es-Sig,243.0
175,1152,Dice Chess,188.0
176,135,Qelat,82.0
177,1795,Quick Chess,112.0
178,739,Nerenchi Keliya,153.0
179,1508,Wari (Alignment),172.0
180,685,Chase,1.0
181,458,Amazon Chess,249.0
182,965,Lontu-Holo,186.0
183,180,Shing Quon Tu,122.0
184,1050,Main Dam,43.0
185,1801,Louis XVI,77.0
186,1314,Chiana wa Kunja,100.0
187,407,Snowpaque,31.0
188,953,Sam K'i,25.0
189,1657,Viking Chess,247.0
190,448,Pentalath,41.0
191,243,Bosh,160.0
192,736,El Mundo,84.0
193,1125,Panchi,189.0
194,1761,Rabbit Warrens,59.0
195,1323,Shisen-Sho,1.0
196,1535,Pentago,25.0
197,173,Romavoa,65.0
198,122,Knight's Tour,1.0
199,1671,Yavalax,65.0
200,119,Squaro,1.0
201,47,Skirmish (GDL),99.0
202,1439,Acedrex (Alfonso),250.0
203,216,Puhulmutu,17.0
204,1737,Dogtown Clans,20.0
205,293,Shatranj ar-Rumiya,250.0
206,1245,Damenspiel,45.0
207,678,Crossline,9.0
208,717,Tugul Shodra,27.0
209,1450,Chaturanga (Kridakausalya),250.0
210,770,Haretavl,250.0
211,1669,Make Muster,77.0
212,979,Forcado,250.0
213,1222,Tap Urdy,60.0
214,1290,Misoro Tsoro,85.0
215,267,Muvalavala (Quioco),28.0
216,1987,Ecosys,63.0
217,1123,Garanguet,68.0
218,1935,Fettas,110.0
219,468,Kaooa,85.0
220,1383,Ngulungu,13.0
221,1659,HexGo,169.0
222,1992,Dama (Alquerque),96.0
223,1628,Shatranj (14x14),250.0
224,1262,Erherhe,250.0
225,177,Tawula,141.0
