,RulesetId,Name,DurationTurns
181,458,Default,249.0
182,965,Lontu Holo,186.0
183,180,Shing Quon Tu,122.0
184,1050,Main Dam,43.0
185,1801,Default,77.0
186,1314,Chiana wa Kunja,100.0
187,407,Default,31.0
188,953,Sam K'i,25.0
189,1657,Default,247.0
190,448,Default,41.0
191,243,Darod,160.0
192,736,El Mundo,84.0
193,1125,Panchi,189.0
194,1761,Default,59.0
195,1323,Default,1.0
196,1535,Default,25.0
197,173,Romavoa,65.0
198,122,Standard,1.0
199,1671,Default,65.0
200,119,Default,1.0
201,47,Default,99.0
202,1439,Acedrex,250.0
203,216,Puhulmutu,17.0
204,1737,Default,20.0
205,293,Murray,250.0
206,1245,Damenspiel,45.0
207,678,Default,9.0
208,717,Tugul Shodra,27.0
209,1450,Kridakausalya,250.0
210,770,Haretavl Eleven Points,250.0
211,1669,Default,77.0
212,979,Forcado,250.0
213,1222,Tap Urdy,60.0
214,1290,Misoro Tsoro,85.0
215,267,Quiocos,28.0
216,1987,Default,63.0
217,1123,Garanguet,68.0
218,1935,Fettas,110.0
219,468,Central India,85.0
220,1383,Ngulungu,13.0
221,1659,Default,169.0
222,1992,Dama (Alquerque),96.0
223,1628,Shatranj (14x14),250.0
224,1262,Erherhe,250.0
225,177,Tawula,141.0
226,46,Standard,231.0
227,864,Barjis,250.0
228,62,Sri Lanka,240.0
229,653,SIxteen-handed,203.0
230,1419,Six Insect Game,250.0
231,884,The Babylonian,240.0
232,1396,Default,248.0
233,33,Murray,114.0
234,74,Default,25.0
235,133,Default,250.0
236,368,Leyla,131.0
237,573,Default,63.0
238,889,Default,41.0
239,632,Karwi,241.0
240,1354,Default,1.0
241,82,Default,81.0
242,615,Default,1.0
243,787,Syed,2.0
244,431,Gupta,149.0
245,391,Default,87.0
246,1468,Tepong,250.0
247,1308,Shono,71.0
248,1545,Wikipedia,212.0
249,1317,Default,6.0
250,645,Aj Sina'anil,68.0
251,567,Blumlein,10.0
252,1009,Dorvon Cag,7.0
253,56,English Draughts,136.0
254,617,Default,7.0
255,1975,Default,52.0
256,1550,Default,41.0
257,1798,Default,119.0
258,1139,Huli-Mane Ata,52.0
259,604,Default,18.0
260,401,Central India,250.0
261,1411,Chandaraki,250.0
262,1555,Wali,235.0
263,462,Default,20.0
264,819,Ketch-Dolt,6.0
265,1929,Co Chan Cho,27.0
266,750,Tayam Sonalu,159.0
267,1189,Sik,250.0
268,1467,Main Chator (Batak),250.0
269,1623,Default,250.0
270,900,Pam Pait,250.0
271,372,Sanderson,47.0
272,273,Quendo,57.0
273,451,Default,22.0
274,901,Bam Blang Beh Khla,77.0
275,766,Bagh Batti,240.0
276,644,Aj T'iwil,68.0
277,545,Default,29.0
278,1566,Dongjintian (Four players),28.0
279,441,Default,201.0
280,400,Default,59.0
281,364,Jimafesosh,96.0
282,805,Satoel,234.0
283,981,Rimau-Rimau (Two Tigers),248.0
284,325,Sheung-Luk,128.0
285,977,Gavalata,184.0
286,911,Bis Gutiya,250.0
287,549,Default,100.0
288,1083,Hund efter Hare (Vendsyssel),250.0
289,1812,Default,23.0
290,1814,Default,44.0
291,1973,Default,8.0
292,1413,Default,181.0
293,719,Bara Guti,250.0
294,1384,Lisolo,250.0
295,1797,Default,80.0
296,450,Default,25.0
297,427,Senegal,250.0
298,459,Default,3.0
299,378,Mba,114.0
300,1200,Uril,214.0
301,1612,Mulabalaba,177.0
302,50,Tsivy,37.0
303,1057,Dris at-Talata,20.0
304,1547,Default,64.0
305,344,Mewegae,118.0
306,1931,Default,36.0
307,1817,Default,37.0
308,806,Rimoe,181.0
309,112,Default,1.0
310,453,Default,15.0
311,124,English,1.0
312,457,Default,103.0
313,1268,Default,32.0
314,1184,Default,35.0
315,374,Ingrams,94.0
316,765,Bheri Bakri,162.0
317,193,Makvoer,250.0
318,218,Parker,65.0
319,1974,Ring,47.0
320,307,Shatranj al-Mustatila,168.0
321,812,Natt Klab ash-Shawk,170.0
322,387,Lucas,9.0
323,66,Jahn,66.0
324,203,Nyout,41.0
325,620,Default,34.0
326,1811,Default,44.0
327,1809,Default,27.0
328,1662,Default,68.0
329,1792,Default,247.0
330,1784,Default,19.0
331,840,Set Dilth',222.0
332,129,Default,9.0
333,1767,Default,106.0
334,100,Standard,5.0
335,222,Iloko,105.0
336,728,Seys Dos y As,70.0
337,1343,Ngre E E,8.0
338,240,Bagara,47.0
339,147,Wikipedia,218.0
340,674,Default,18.0
341,214,Bedouin,22.0
342,793,Default,222.0
343,694,Default,17.0
344,963,Default,249.0
345,1325,Persian Chess with a Queen,250.0
346,1075,Wolf und Schaaf,43.0
347,95,Crane,57.0
348,1011,Default,248.0
349,145,Manasollasa,249.0
350,276,Kubuguza,42.0
351,763,Sig (Mzab),250.0
352,785,Locos Ludi Race,63.0
353,1252,Verquere,102.0
354,1821,Default,126.0
355,319,Saxun,250.0
356,920,Omangunta Peeta,147.0
357,1510,Marelle Quadruple,250.0
358,143,Sungka,78.0
359,343,Mewelad,130.0
360,619,Default,30.0
361,231,Basden,250.0
362,207,Laomuzhu,157.0
363,587,Zaslavsky 1,6.0
364,873,Main Pacheh,236.0
365,774,Kharberg,170.0
366,1531,Default,76.0
367,808,Sig (Houmt al-Arbah),132.0
368,1153,Default,18.0
369,1421,Default,26.0
370,1073,Janes Soppi (Symmetrical),250.0
371,542,Kendall,250.0
372,950,Akidada,5.0
373,493,Default,16.0
374,1296,Tsoro (Reentered Captures),110.0
375,211,Hyde,78.0
376,1989,Dama (Kenya),90.0
377,341,Aristocratic Selus,45.0
378,577,Kolowis,250.0
379,280,Momolu Massaquoi,147.0
380,1079,Kiz Tavlasi,33.0
381,684,Default,1.0
382,1731,Default,14.0
383,1793,Default,245.0
384,36,Carnarvon and Carter,127.0
385,281,Beart,118.0
386,1060,Frangieh,73.0
387,41,Default,166.0
388,919,Nao Gutiya Baithaneka,1.0
389,1147,Default,1.0
390,416,Default,197.0
391,663,Default,56.0
392,290,Hoyito I,101.0
393,388,Default,21.0
394,172,Kile,126.0
395,120,Default,1.0
396,353,Wuqro,121.0
397,228,Obridje,62.0
398,1322,Sute,250.0
399,1291,Misoro Tsoro (Additional Capture),18.0
400,1191,Sig (Mauritania),177.0
401,171,Yeung Luk Sz' Kon Tseung Kwan,250.0
402,200,Ain-i-Akbari,85.0
403,1306,Yovodi,29.0
404,1799,Default,18.0
405,922,Kendall,175.0
406,256,Natatu,36.0
407,1010,Gurvan Xudag,27.0
408,261,Ikibuguzo (Opening 1),68.0
409,1333,Short Assize,250.0
410,1548,Default,32.0
411,426,Gourounsi,10.0
412,1732,Default,30.0
413,1666,Default,20.0
414,1307,Ti,56.0
415,1970,Default,102.0
416,291,Shui Yen Ho-shang,250.0
417,268,Luenas,104.0
418,902,Mawryngkneng Solitaire Game,1.0
419,1664,Default,9.0
420,1242,Default,35.0
421,773,T'uk T'uk,250.0
422,679,Default,5.0
423,402,Default,211.0
424,254,Schultze,119.0
425,1646,Default,42.0
426,1144,Default,9.0
427,1077,Lange Puff,80.0
428,618,Default,18.0
429,1794,Default,121.0
430,895,Pachesi,250.0
431,91,Murray,84.0
432,234,Two Counters,250.0
433,53,Default,49.0
434,1939,Khamousiyya,218.0
435,1365,Kisolo (Lali),3.0
436,1627,Shatranj (12x12),250.0
437,1813,Default,20.0
438,809,Sig wa Duqqan (Houmt Taourit),166.0
439,1574,Kharebga (7x7),226.0
440,1304,Adidada,121.0
441,1981,Default,91.0
442,1962,Default,66.0
443,561,Jekab,46.0
444,940,Pachgarhwa,9.0
445,60,Default,34.0
446,61,Sixteen Pieces,244.0
447,726,Quinze Tablas,71.0
448,836,Owasokotz Pass,31.0
449,737,Alquerque de Tres,6.0
450,312,Alfonso X,250.0
451,603,Default,113.0
452,1082,Hund efter Hare (Thy),250.0
