,Cluster,RulesetId,Name
261,1,1411, Chandaraki
262,2,1555, Wali
263,1,462, Los Alamos Chess
264,0,819, Ketch-Dolt
265,2,1929, Co Chan Cho
266,0,750, Tayam Sonalu
267,0,1189, Sik
268,1,1467, Main Chator (Batak)
269,1,1623, Xiang Hex
270,2,900, Pam Pait
271,3,372, Bao Kiswahili (East Africa)
272,3,273, Quendo
273,4,451, Susan
274,2,901, Bam Blang Beh Khla
275,2,766, Bagh Batti
276,0,644, Aj T'iwil
277,4,545, Trax
278,3,1566, Dongjintian (Four Players)
279,4,441, Conspirateurs
280,4,400, Cross
281,3,364, Jimafesosh
282,2,805, Satoel
283,2,981, Rimau-Rimau (Two Tigers)
284,0,325, Shuanglu
285,0,977, Gavalata
286,2,911, Bis Gutiya
287,4,549, Capture the Queen
288,2,1083, Hund efter Hare (Vendsyssel)
289,4,1812, Tara
290,4,1814, Troll
291,4,1973, Traffic Lights
292,4,1413, Keryo-Pente
293,2,719, Bara Guti
294,3,1384, Lisolo
295,4,1797, Archimedes
296,4,450, Spline
297,3,427, Oure Ngat
298,1,459, Safe Passage
299,3,378, Mbelele
300,3,1200, Uril
301,2,1612, Mulabalaba
302,2,50, Fanorona
303,2,1057, Dris at-Talata
304,4,1547, Rolit
305,3,344, Mewegae
306,4,1931, Flower Shop
307,4,1817, Crusade
308,2,806, Rimoe
309,4,112, Kakuro
310,4,453, Yavalanchor
311,4,124, Peg Solitaire
312,1,457, Maharajah Chess
313,4,1268, Isolation
314,4,1184, Residuel
315,3,374, Bao Ki Arabu (Zanzibar 2)
316,0,765, Bheri Bakhri
317,2,193, Makvoer
318,3,218, Kotu Baendum
319,2,1974, Ring
320,1,307, Shatranj al-Mustatila
321,2,812, Natt Klab ash-Shawk
322,2,387, Jeu Militaire
323,3,66, Das Bohnenspiel
324,0,203, Nyout
325,4,620, DisPath
326,4,1811, Kassle
327,4,1809, Minefield
328,4,1662, Fenix
329,1,1792, Official Football Chess
330,1,1784, Chessence
331,0,840, Set Dilth'
332,2,129, Chopsticks
333,4,1767, Atoll
334,2,100, Tic-Tac-Toe
335,3,222, Sonka
336,0,728, Seys Dos y As
337,2,1343, Ngre E E
338,3,240, Kara
339,0,147, Pachisi
340,4,674, Onek Rong
341,3,214, Mangala (Bedouin)
342,1,793, Kyoto Shogi
343,4,694, Ilpion
344,4,963, Tumbleweed
345,1,1325, Persian Chess with a Queen
346,2,1075, Wolf und Schaaf
347,2,95, Shisima
348,1,1011, Phase Chess
349,1,145, Chaturanga
350,3,276, Kubuguza
351,0,763, Sig (Mzab)
352,0,785, Pente Grammai
353,0,1252, Verquere
354,2,1821, Tandems
